event_order,country,event_type,event_month,traffic_source,no_of_events
0,Brasil,cancel,2023-02-01 00:00:00.000000 UTC,Adwords,60
0,Brasil,cancel,2023-05-01 00:00:00.000000 UTC,Email,118
0,Brasil,cancel,2023-06-01 00:00:00.000000 UTC,Email,119
0,Brasil,cancel,2023-01-01 00:00:00.000000 UTC,Email,129
0,Brasil,cancel,2023-03-01 00:00:00.000000 UTC,Email,125
0,Brasil,cancel,2023-06-01 00:00:00.000000 UTC,Adwords,81
0,Brasil,cancel,2023-07-01 00:00:00.000000 UTC,Email,120
0,Brasil,cancel,2023-11-01 00:00:00.000000 UTC,Adwords,91
0,Brasil,cancel,2023-06-01 00:00:00.000000 UTC,YouTube,27
0,Brasil,cancel,2023-12-01 00:00:00.000000 UTC,Facebook,26
0,France,cancel,2023-07-01 00:00:00.000000 UTC,Email,39
0,China,cancel,2023-07-01 00:00:00.000000 UTC,Email,269
0,China,cancel,2023-12-01 00:00:00.000000 UTC,Adwords,205
0,China,cancel,2023-09-01 00:00:00.000000 UTC,Email,292
0,China,cancel,2023-05-01 00:00:00.000000 UTC,Email,311
0,United States,cancel,2023-08-01 00:00:00.000000 UTC,Organic,23
0,China,cancel,2023-10-01 00:00:00.000000 UTC,Email,303
0,China,cancel,2023-02-01 00:00:00.000000 UTC,Email,273
0,China,cancel,2023-11-01 00:00:00.000000 UTC,Email,268
0,China,cancel,2023-07-01 00:00:00.000000 UTC,Adwords,213
0,China,cancel,2023-12-01 00:00:00.000000 UTC,Facebook,76
0,China,cancel,2023-04-01 00:00:00.000000 UTC,Email,260
0,China,cancel,2023-09-01 00:00:00.000000 UTC,Adwords,197
0,China,cancel,2023-03-01 00:00:00.000000 UTC,Email,286
0,China,cancel,2023-01-01 00:00:00.000000 UTC,Email,271
0,China,cancel,2023-04-01 00:00:00.000000 UTC,Adwords,208
0,China,cancel,2023-05-01 00:00:00.000000 UTC,YouTube,64
0,China,cancel,2023-05-01 00:00:00.000000 UTC,Adwords,192
0,China,cancel,2023-06-01 00:00:00.000000 UTC,YouTube,58
0,China,cancel,2023-03-01 00:00:00.000000 UTC,Adwords,189
0,China,cancel,2023-12-01 00:00:00.000000 UTC,YouTube,62
0,China,cancel,2023-08-01 00:00:00.000000 UTC,Adwords,204
